cenario,melhor_perfil,retorno
Estimativa por avaliações,Apartamento · 2 quartos,5.61
Ocupação 25%,Apartamento · 1 quarto,5.2
Ocupação 35%,Apartamento · 1 quarto,7.27
Ocupação 45%,Apartamento · 1 quarto,9.35
