perfil,n_ativos,adr_med,rev_proxy_med,occ25,occ35,occ45,n_venda,price_med,yield_proxy,yield_occ35,yield_occ25,yield_occ45
apartamento|2 quartos,329,458.0,46200.0,41792.5,58509.49999999999,75226.5,1769,823987.0,5.606884574635279,7.100779502589239,5.071985358992314,9.129573646186167
apartamento|1 quarto,98,427.0,33807.0,38963.75,54549.24999999999,70134.75,160,750000.0,4.5076,7.273233333333333,5.195166666666666,9.3513
apartamento|3 quartos,387,655.25,71400.0,59791.5625,83708.18749999999,107624.8125,3171,1800000.0,3.966666666666667,4.65045486111111,3.321753472222222,5.97915625
apartamento|4 quartos,65,900.0,108000.0,82125.0,114975.0,147825.0,2147,3500000.0,3.085714285714286,3.2849999999999997,2.3464285714285715,4.223571428571429
