perfil,suburb,n_ativos,rev_proxy_med,occ35,n_venda,price_med,yield_proxy,yield_occ35
apartamento|2 quartos,Meia Praia,186,55645.713,57487.5,244,1075000.0,5.176345395348838,5.347674418604651
apartamento|2 quartos,Morretes,51,33000.0,59275.99999999999,1044,790000.0,4.177215189873418,7.503291139240506
apartamento|2 quartos,Centro,62,44007.0,67515.875,89,1150000.0,3.826695652173913,5.870945652173913
apartamento|3 quartos,Meia Praia,327,71400.0,83708.18749999999,1704,1884860.0,3.788079751281262,4.44108249419055
apartamento|1 quarto,Centro,70,33300.0,55379.625,22,890000.0,3.741573033707865,6.222429775280899
apartamento|1 quarto,Meia Praia,20,30885.0,56337.75,58,877500.0,3.519658119658119,6.42025641025641
apartamento|4 quartos,Meia Praia,57,108000.0,114975.0,1328,3600000.0,3.0,3.19375
apartamento|3 quartos,Centro,42,60415.5,95748.625,438,2100000.0,2.8769285714285715,4.559458333333334
